codigo_iata,codigo_oaci,nombre_oficial,pais,anio,pasajeros_totales_anuales,pasajeros_nacionales,pasajeros_internacionales,operaciones_aeronaves_anuales,carga_toneladas_anuales,correo_toneladas_anuales,fuente_dato,fecha_publicacion_fuente,observaciones
RES,SARE,Resistencia International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RGA,SAWE,Gobernador Ramón Trejo Noel International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RGL,SAWG,Piloto Civil Norberto Fernández International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RHD,SANR,Termas de Río Hondo international Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
ROS,SAAR,Rosario Islas Malvinas International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RSA,SAZR,Santa Rosa Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RYO,SAWT,28 de Noviembre Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SDE,SANE,Vicecomodoro Angel D. La Paz Aragonés Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SFN,SAAV,Sauce Viejo Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SLA,SASA,Martín Miguel de Güemes International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SST,SAZL,Santa Teresita Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
TUC,SANT,Teniente Benjamín Matienzo International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
UAQ,SANU,Domingo Faustino Sarmiento Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
USH,SAWH,Ushuaia - Malvinas Argentinas International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
VDM,SAVV,Gobernador Castello Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
CBB,SLCB,Jorge Wilsterman International Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
CCA,SLHI,Chimore Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
CIJ,SLCO,Capitán Aníbal Arab Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
GYA,SLGM,Guayaramerín Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
LPB,SLLP,El Alto International Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
ORU,SLOR,Juan Mendoza International Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PSZ,SLPS,Capitán Av. Salvador Ogaya G. airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PUR,SLPR,Puerto Rico Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RBQ,SLRQ,Rurrenabaque Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RIB,SLRI,Capitán Av. Selin Zeitun Lopez Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SRE,SLAL,Alcantarí International Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SRZ,SLET,El Trompillo Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
TDD,SLTR,Teniente Av. Jorge Henrich Arauz Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
TJA,SLTJ,Capitan Oriel Lea Plaza Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
UYU,SLUY,Joya Andina International Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
VVI,SLVR,Viru Viru International Airport,Bolivia,,,,,,,,INE Bolivia / NAABOL - estadísticas de transporte aéreo: https://www.ine.gob.bo/index.php/estadisticas-economicas/transportes/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
AAX,SBAX,Romeu Zema Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
AFL,SBAT,Piloto Osvaldo Marques Dias Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
AJU,SBAR,Aracaju - Santa Maria Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
AQA,SBAQ,Araraquara Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
ARU,SBAU,Araçatuba Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
ATM,SBHT,Altamira Interstate Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
AUX,SWGN,Araguaína Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
BAZ,SWBC,Barcelos Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
BEL,SBBE,Val de Cans/Júlio Cezar Ribeiro International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
