iata;oaci;continent;latitude;longitude;municipality;country
MPN;EGYP;SA;'-51.82279968261719;'-58.447200775146484;Monte Agradable;AR
MPO;KMPO;NA;41.136.025;'-75.379572;Mount Pocono;US
MPP;;NA;8.945.487;'-77.733486;Mulatupo;PA
MPR;KMPR;NA;38.352.402;'-97.691299;Mc Pherson;US
MPS;KOSA;NA;33.095.501;'-94.961502;Mount Pleasant;US
MPT;WPMN;AS;'-8.97224;125.214.996;Maliana;TL
MPV;KMPV;NA;4.420.349.884;'-72.56230164;Barre/Montpelier;US
MPW;UKCM;EU;4.707.609.939.575.190;3.744.960.021.972.650;Mariupol;UA
MPY;SOOA;SA;3.655.907;'-54.039431;Maripasoula;GF
MPZ;KMPZ;NA;4.094.660.187;'-91.51110077;Mount Pleasant;US
MQA;YMDI;OC;'-19.73799;12.083.818;Eighty Mile Beach;AU
MQB;KMQB;NA;40.520.099.639.899.900;'-90.65239715579999;Macomb;US
MQC;LFVM;NA;47.095.501;'-56.380299;Miquelon;PM
MQD;SAVQ;SA;'-41.2430992126;'-68.7078018188;Maquinchao;AR
MQE;YMQA;OC;'-22.80579948425293;13.725.100.708.007.800;Marqua;AU
MQF;USCM;EU;5.339.310.073.852.530;58.755.699.157.714.800;Magnitogorsk;RU
MQH;;SA;'-13.5491;'-48.195301;Minaçu;BR
MQJ;UEMA;AS;66.450.861;143.261.551;Khonuu;RU
MQK;SLTI;SA;'-16.339199;'-58.401901;San Matías;BO
MQL;YMIA;OC;'-34.229198455799995;142.085.998.535;Mildura;AU
MQM;LTCR;AS;37.223.300.933.800.000;406.316.986.084;Mardin;TR
MQN;ENRA;EU;66.363.899.230.957;14.301.400.184.631;Mo i Rana;NO
MQP;FAKN;AF;'-25.3831996918;311.056.003.571;Mpumalanga;ZA
MQQ;FTTD;AF;8.628.503;16.074.241;Moundou;TD
MQR;;SA;264.955;'-78.3361;Mosquera;CO
MQS;TVSM;NA;128.879;'-61.180199;Lovell;VC
MQT;KSAW;NA;463.536;'-87.395401;Gwinn;US
MQU;SKQU;SA;521.256;'-74.8836;Mariquita;CO
MQV;;AF;3.590.518;0.144539;Sayada;DZ
MQW;KMQW;NA;32.095.798;'-82.879997;Mc Rae;US
MQX;HAMK;AF;134.674;39.533.501;Mekele;ET
MQY;KMQY;NA;360.089.988.708;'-86.5201034546;Smyrna;US
MQZ;YMGT;OC;'-33.930599;115.099.998;;AU
MRA;HLMS;AF;32.325.001;15.061;Misrata;LY
MRB;KMRB;NA;3.940.190.125;'-77.98459625;Martinsburg;US
MRC;KMRC;NA;355.541.000.366;'-87.17890167239999;Columbia/Mount Pleasant;US
MRD;SVMD;SA;8.582.078;'-71.161041;Mérida;VE
MRE;HKMS;AF;'-1.406111;35.008.057;Masai Mara;KE
MRF;KMRF;NA;30.369.593;'-104.015893;Marfa;US
MRG;YMBA;OC;'-17.070277;145.424.228;Mareeba;AU
MRI;PAMR;NA;61.212.792;'-149.843988;Anchorage;US
MRK;KMKY;NA;25.995.001;'-81.672501;Marco Island;US
MRN;KMRN;NA;35.820.202;'-81.611397;Morganton;US
MRO;NZMS;OC;'-40.974634;17.563.454;Masterton;NZ
MRP;YALA;OC;'-27.334298;133.627.696;Marla;AU
MRQ;RPUW;AS;13.361.000.061.035.100;12.182.599.639.892.500;Gasan;PH
MRR;SEMA;SA;'-4.37823009491;'-79.94100189210002;Macará;EC
MRS;LFML;EU;43.438.088;52.125;Marignane, Bouches-du-Rhône;FR
MRU;FIMP;AF;'-20.430201;57.683.601;Plaine Magnien;MU
MRV;URMM;EU;44.225.101.470.947.200;4.308.190.155.029.290;Mineralnyye Vody;RU
MRW;EKMB;EU;54.699.447;11.438.163;Rødby;DK
MRX;OIAM;AS;305.562;49.151.901;Mahshahr;IR
MRY;KMRY;NA;3.658.700.180.053.710;'-121.84300231933594;Monterey;US
MRZ;YMOR;OC;'-29.498899459799997;149.845.001.221;Moree;AU
MSA;CZMD;NA;53.441.399;'-91.762802;Muskrat Dam;CA
MSC;KFFZ;NA;334.608.001.709;'-111.727996826;Mesa;US
MSF;YMNS;OC;'-22.624696;135.034.512;;AU
MSG;FXMA;AF;'-29.840562;2.877.668;Matsaile;LS
MSH;OOMA;AS;206.754;58.890.499;Masirah;OM
MSI;;AS;'-5.583330154418945;11.443.299.865.722.600;Masalembo Island;ID
MSJ;RJSM;AS;40.703.201;141.367.996;Misawa;JP
MSK;;SA;3.750.453;'-71.456137;Puerto Gaitán;CO
MSL;KMSL;NA;34.745.123;'-87.612981;Muscle Shoals;US
MSM;FZCV;AF;'-4.783;17.85;Masi Manimba;CD
MSN;KMSN;NA;431.399;'-89.337502;Madison;US
MSO;KMSO;NA;4.691.630.173;'-114.0910034;Missoula;US
MSP;KMSP;NA;44.880.081;'-93.221741;Minneapolis;US
MSQ;UMMS;EU;53.888.071;28.039.964;Minsk;BY
MSR;LTCK;AS;38.747.798.919.677.700;4.166.120.147.705.070;Muş;TR
MSS;KMSS;NA;44.936.157;'-74.844304;Massena;US
MST;EHBK;EU;50.911.701;577.014;Maastricht;NL
MSU;FXMM;AF;'-29.462299;275.525;Mazenod;LS
MSV;KMSV;NA;41.701.596;'-74.794997;Monticello;US
MSW;HHMS;AF;15.67;39.370.098;Massawa;ER
MSX;FCMM;AF;'-2.95;12.7;Mossendjo;CG
MSY;KMSY;NA;29.993.401;'-90.258003;New Orleans;US
MSZ;FNMO;AF;'-15.2612;121.468;Moçâmedes;AO
MTA;NZMA;OC;'-37.734402;175.742.004;;NZ
MTB;SKML;SA;797.174;'-75.4325;Montelíbano;CO
MTC;KMTC;NA;42.613.463;'-82.836919;Mount Clemens;US
MTD;YMSF;OC;'-16.978300094604492;13.055.499.267.578.100;;AU
MTE;SNMA;SA;'-1.9958;'-54.0742;Monte Alegre;BR
MTF;HAMT;AF;69.571;355.547;Mizan Teferi;ET
MTG;;SA;'-14.995499;'-59.945662;Vila Bela da Santíssima Trindade;BR
MTH;KMTH;NA;24.726.101;'-81.051399;Marathon;US
MTI;GVMT;AF;15.045;'-24.339199;Vila do Mosteiros;CV
MTJ;KMTJ;NA;385.098;'-107.893997;Montrose;US
MTK;NGMN;OC;337.444;172.992.004;Makin Island;KI
MTL;YMND;OC;'-32.701265;151.492.912;;AU
MTM;PAMM;NA;55.131.001;'-131.578003;Metlakatla;US
MTN;KMTN;NA;39.325.699;'-76.413803;Baltimore;US
MTO;KMTO;NA;39.477.901;'-88.279198;Mattoon;US
MTP;KMTP;NA;410.765;'-71.920797;Montauk;US
MTQ;YMIT;OC;'-26.483299255371094;14.793.699.645.996.000;;AU
MTR;SKMR;SA;882.374;'-75.8258;Montería;CO
MTS;FDMS;AF;'-26.528999;31.307.501;Manzini;SZ
MTT;MMMT;NA;18.103.399;'-94.580704;Cosoleacaque;MX
MTU;;AF;'-13.121899604797363;39.052.799.224.853.500;Montepuez;MZ
MTV;NVSA;OC;'-13.666;167.712.006;Ablow;VU
MTW;KMTW;NA;44.127.116;'-87.681983;Manitowoc;US
MTX;;NA;6.480.680.084.229.990;'-147.761993408;Fairbanks;US
MTY;MMMY;NA;25.778.521;'-100.106989;Monterrey;MX
MTZ;LLMZ;AS;31.328.199;35.388.599;Masada;IL
MUA;AGGM;OC;'-8.32797;157.263;Munda;SB
MUB;FBMN;AF;'-19.970491;23.431.409;Maun;BW
MUC;EDDM;EU;48.353.802;117.861;Munich;DE
MUD;FQMD;AF;'-11.6729;39.563.099;Mueda;MZ
MUE;PHMU;OC;20.001.301;'-155.667999;Waimea (Kamuela);US
MUG;MMMG;NA;26.905.347;'-111.970725;Mulege;MX
MUH;HEMM;AF;31.325.464;27.221.716;Marsa Matruh;EG
MUI;KMUI;NA;40.435.214;'-76.568661;Fort Indiantown Gap(Annville);US
MUK;NCMK;OC;'-20.13610076904297;'-157.34500122070312;Mauke Island;CK
MUL;KMUL;NA;31.141.569;'-83.703718;Moultrie;US
MUN;SVMT;SA;9.749.023;'-63.153348;Maturín;VE
MUO;KMUO;NA;43.043.598;'-115.872002;Mountain Home;US
MUP;YMUP;OC;'-25.860000610399997;131.649.993.896;;AU
MUQ;YMUC;OC;'-20.658899307250977;12.006.700.134.277.300;Muccan Station;AU
MUR;WBGM;AS;4.178.734;114.330.318;Marudi;MY
MUS;RJAM;AS;242.897;153.979.004;Ogasawara;JP
MUT;KMUT;NA;41.367.803;'-91.148201;Muscatine;US
MUU;;SA;'-13.906082;'-38.940804;Maraú;BR
MUW;DAOV;AF;35.207.699;0.147142;Ghriss;DZ
MUX;OPMT;AS;3.020.319.938.659.660;7.141.909.790.039.060;Multan;PK
MUY;FCBM;AF;'-4.014874;13.966.112;Mouyondzi;CG
MUZ;HTMU;AF;'-1.503;338.021;Musoma;TZ
MVA;BIRL;EU;656.558;'-16.9181;Myvatn;IS
MVB;FOON;AF;'-1.6561599969863892;13.437.999.725.341.700;Franceville;GA
MVC;KMVC;NA;31.458;'-87.350996;Monroeville;US
MVD;SUMU;SA;'-34.835647;'-56.026497;Ciudad de la Costa;UY
MVE;KMVE;NA;44.969.101;'-95.710297;Montevideo;US
MVF;SBMS;SA;'-5.20192;'-37.3643;Mossoró;BR
MVK;YMUK;OC;'-28.34779930114746;13.864.999.389.648.400;Mulka;AU
MVL;KMVL;NA;44.534.599;'-72.613998;Morrisville;US
MVM;;NA;36.716.444;'-110.228444;Kayenta;US
MVN;KMVN;NA;38.322.774;'-88.859257;Mount Vernon;US
MVO;FTTM;AF;1.217.048;18.675.642;Mongo;TD
MVP;SKMU;SA;125.366;'-70.2339;Mitú;CO
MVQ;UMOO;EU;53.954.898.834.228.500;3.009.510.040.283.200;Mogilev;BY
MVR;FKKL;AF;10.451.399.803.161.600;14.257.399.559.020.900;Maroua;CM
MVS;SNMU;SA;'-18.048901;'-39.864321;Mucuri;BR
MVT;NTGV;OC;'-14.8681001663208;'-148.7169952392578;;PF
MVU;YMGV;OC;'-14.7757;1.435.047;Musgrave;AU
MVV;LFHM;EU;45.823.005;6.649.406;Megève;FR
MVW;KBVS;NA;48.470.901;'-122.420998;Burlington;US
MVX;FOGV;AF;2.152.413;12.108.044;Minvoul;GA
MVY;KMVY;NA;413.931.007.385;'-70.6143035889;Martha's Vineyard;US
MVZ;FVMV;AF;'-20.0553;308.591;Masvingo;ZW
MWA;KMWA;NA;37.751.208;'-89.016568;Marion;US
MWB;YMRW;OC;'-29.2017;116.022.003;;AU
MWC;KMWC;NA;43.110.401;'-88.034401;Milwaukee;US
MWD;OPMI;AS;325.630.989.074.707;715.707.015.991.211;Mianwali;PK
MWF;NVSN;OC;'-14.997222;168.081.111;Maewo Island;VU
MWH;KMWH;NA;4.720.769.882;'-119.3199997;Moses Lake;US
MWJ;SYMR;SA;7.487.736;'-60.185237;Matthews Ridge;GY
MWK;;AS;334.812;106.258.003;Palmatak;ID
MWL;KMWL;NA;32.781.601;'-98.060204;Mineral Wells;US
MWM;KMWM;NA;43.913.399;'-95.109398;Windom;US
MWN;HTMD;AF;'-3.521332;33.615.542;Mwadui;TZ
MWO;KMWO;NA;39.530.998;'-84.395302;Middletown;US
MWQ;VYMW;AS;201.656;94.941.399;Magway;MM
MWT;YMWT;OC;'-29.9069;139.765;Moolawatana Station;AU
MWV;VDMK;AS;12.464.562;107.188.039;Sen Monorom;KH
MWY;YMIR;OC;'-17.328899;141.886.002;Miranda Downs;AU
MWZ;HTMW;AF;'-2.4444899559020996;32.932.701.110.839.800;Mwanza;TZ
MXA;KMXA;NA;35.894.402;'-90.154602;Manila;US
MXB;;AS;'-2.558031;120.324.342;Masamba;ID
MXD;YMWX;OC;'-23.363702;139.649.663;Marion Downs;AU
MXE;KMEB;NA;34.791.901;'-79.365799;Maxton;US
MXF;KMXF;NA;323.829;'-86.365799;Montgomery;US
MXH;AYMR;OC;'-6.36332988739;143.238.006.592;Moro;PG
MXI;RPMQ;AS;6.949.091;12.627.368;Mati;PH
MXJ;DNMN;AF;9.652.170.181.274.410;6.462.259.769.439.690;Minna;NG
MXL;MMML;NA;32.630.629;'-115.242805;Mexicali;MX
MXM;FMSR;AF;'-21.753837;43.374.753;Morombe;MG
MXN;LFRU;EU;486.031.990.051;'-3.81577992439;Morlaix/Ploujean;FR
MXO;KMXO;NA;42.220.402;'-91.1633;Monticello;US
MXP;LIMC;EU;456.306;872.811;Ferno (VA);IT
MXQ;;SA;'-13.389444;'-38.91;Cairu;BR
MXR;;EU;49.932;33.641;Myrhorod;UA
MXS;NSMA;OC;'-13.7423;'-172.257996;Maota;WS
MXT;FMMO;AF;'-18.049999;44.033.001;Maintirano;MG
MXU;YMWA;OC;'-28.475;115.516.998;;AU
MXV;ZMMN;AS;49.663.299.560.546.800;1.000.989.990.234.370;Mörön;MN
MXW;ZMMG;AS;457.380.981.445;106.268.997.192;Mandalgobi;MN
MXX;ESKM;EU;60.957.901;145.114;Mora;SE
MXY;PAMX;NA;614.370.994.568;'-142.904006958;Mccarthy;US
MXZ;ZGMX;AS;24.263.425;116.097.857;Meizhou (Meixian);CN
MYA;YMRY;OC;'-35.8978004456;150.143.997.192;Moruya;AU
MYB;FOOY;AF;'-3.458372;10.676.539;Mayumba;GA
MYC;SVBS;SA;10.249.978;'-67.649422;Maracay;VE
MYD;HKML;AF;'-3.2293100357055664;4.010.169.982.910.150;Malindi;KE
MYE;RJTQ;AS;34.073.600.769;139.559.997.559;Miyakejima;JP
MYF;KMYF;NA;328.157;'-117.139999;San Diego;US
MYG;MYMM;NA;22.379.499;'-73.013494;Abraham Bay Settlement;BS
MYH;;NA;368.125;'-111.647003;Marble Canyon;US
MYI;YMAE;OC;'-9.915105;144.054.644;Murray Island;AU
MYJ;RJOM;AS;3.382.720.184.326.170;1.326.999.969.482.420;Matsuyama;JP
MYK;;NA;61.335.701;'-142.686996;May Creek;US
MYL;KMYL;NA;44.888.837;'-116.101112;McCall;US
MYM;SYMM;SA;4.452.267;'-59.603126;Monkey Mountain;GY
MYN;OYMB;AS;15.469.228;45.327.272;Marib;YE
MYO;YMYR;OC;'-18.123996;124.270.261;;AU
MYP;UTAM;AS;3.762.353;61.895.668;Mary;TM
MYQ;VOMY;AS;12.23;76.655.833;Mysore;IN
MYR;KMYR;NA;33.679.699;'-78.928299;Myrtle Beach;US
MYT;VYMK;AS;253.836;97.351.898;Myitkyina;MM
MYU;PAMY;NA;60.372.338;'-166.269751;Mekoryuk;US
MYV;KMYV;NA;3.909.780.121;'-121.5699997;Marysville;US
MYW;HTMT;AF;'-10.336204;40.181.997;Mtwara;TZ
MYY;WBGR;AS;432.201;113.987;Miri;MY
MYZ;FWMY;AF;'-14.083600044299999;349.197.006.226;Monkey Bay;MW
MZA;SPMF;SA;'-11.3254;'-74.535598;Mazamari;PE
MZB;FQMP;AF;'-11.3618;403.549;Mocímboa da Praia;MZ
MZC;FOOM;AF;0.783;11.55;Mitzic;GA
MZD;;SA;'-2.733330011367798;'-78.31670379638672;Santiago de Méndez;EC
MZG;RCQC;AS;23.568.701;119.627.998;Huxi;TW
MZH;LTAP;AS;40.829.399;35.521.999;Amasya;TR
MZI;GAMB;AF;145.128;'-4.07956;Sévaré;ML
MZJ;KMZJ;NA;325.106.010.437;'-111.32800293;Marana;US
MZK;NGMK;OC;205.861;173.270.996;Marakei;KI
MZL;SKMZ;SA;50.296;'-75.4647;Manizales;CO
MZO;MUMZ;NA;20.288.605;'-77.087545;Manzanillo;CU
MZP;NZMK;OC;'-41.123299;172.988.998;;NZ
MZQ;FAMU;AF;'-27.626100540161133;320.443.000.793.457;Mkuze;ZA
MZR;OAMS;AS;36.706.902;67.209.702;Mazar-i-Sharif;AF
MZT;MMMZ;NA;23.161.474;'-106.264572;Mazatlàn;MX
MZU;VEMZ;AS;26.119.101;85.313.698;Muzaffarpur;IN
MZV;WBMU;AS;4.048.329.830.169.670;11.480.500.030.517.500;Mulu;MY
MZW;DAAY;AF;33.535.900.116;'-0.242353007197;Mecheria;DZ
MZY;FAMO;AF;'-34.158746;22.055.676;Mossel Bay;ZA
MZZ;KMZZ;NA;404.898.986.816;'-85.6797027588;Marion;US
NAA;YNBR;OC;'-30.3192005157;14.982.699.585;Narrabri;AU
NAC;YNRC;OC;'-36.985298;140.725.006;;AU
NAD;;NA;2.808.967;'-67.621683;Macanal;CO
NAE;DBBN;AF;10.376.965;1.360.507;Natitingou;BJ
NAF;;AS;272.305.011.749;117.125.999.451;Banaina-Borneo Island;ID
NAG;VANP;AS;21.092.199;79.047.203;Nagpur;IN
NAH;WAMH;AS;368.478;125.527.162;Tabukan Utara, Sangihe Islands;ID
NAI;SYAN;SA;395.944;'-59.124199;Annai;GY
NAJ;UBBN;AS;3.918.880.081.176.750;4.545.840.072.631.830;Nakhchivan;AZ
NAK;VTUQ;AS;149.495;102.313.004;Chaloem Phra Kiat;TH
NAL;URMN;EU;43.512.901.306.152.300;43.636.600.494.384.700;Nalchik;RU
NAN;NFFN;OC;'-17.755399703979492;1.774.429.931.640.620;Nadi;FJ
NAO;ZUNC;AS;30.798.104;10.616.415;Nanchong (Gaoping);CN
NAP;LIRN;EU;40.886.002;142.908;Napoli;IT
NAQ;BGQQ;NA;77.488.602;'-69.388702;Qaanaaq;GL
NAR;SKPN;SA;621.002;'-74.5906;Armenia;CO
NAS;MYNN;NA;25.039;'-77.466202;Nassau;BS
NAU;NTGN;OC;'-14.177397;'-141.266112;Napuka Island;PF
NAV;LTAZ;AS;387.719;345.345;Nevşehir;TR
NAW;VTSC;AS;65.199.198.722.839.300;10.174.299.621.582.000;;TH
NBB;SKBM;SA;3.490.691;'-69.808151;Barranco Minas;CO
NBC;UWKE;AS;55.564.701;52.092.499;Nizhnekamsk;RU
NBE;DTNH;AF;36.075.833;10.438.611;Enfidha;TN
NBG;KNBG;NA;2.982.530.022;'-90.03500366;New Orleans;US
NBH;;OC;'-30.673058;152.984.233;Nambucca Heads;AU
NBL;MPWN;NA;9.273.476;'-78.139848;San Blas;PA
NBO;HKJK;AF;'-1.31923997402;369.277.992.249;Nairobi;KE
NBW;MUGM;NA;199.065;'-75.2071;Guantanamo Bay Naval Station;CU
NCA;MBNC;NA;21.916.094;'-71.942954;North Caicos;TC
NCE;LFMN;EU;43.658.401;721.587;Nice, Alpes-Maritimes;FR
NCG;MMCG;NA;303.974;'-107.875;Nuevo Casas Grandes;MX
NCH;HTNA;AF;'-10.3575;38.779.202;Nachingwea;TZ
NCI;SKNC;SA;8.454.429;'-76.779326;Necocli;CO
NCJ;SAFS;SA;'-30.9575;'-61.5283;Sunchales;AR
NCL;EGNT;EU;55.037.958;'-1.689577;Newcastle upon Tyne, Tyne and Wear;GB
NCN;PFCB;NA;60.077.602;'-147.99468;Chenega;US
NCO;KOQU;NA;41.597.099.304.199;'-71.412101745605;North Kingstown;US
NCR;MNSC;NA;1.113.556;'-84.768727;San Carlos;NI
NCS;FANC;AF;'-27.7705993652;29.976.900.100.699.900;Newcastle;ZA
NCT;MRNC;NA;101.394;'-85.445801;Nicoya/Guanacate;CR
NCU;UTNN;AS;424.884;59.623.299;Nukus;UZ
NCY;LFLP;EU;45.928.947;60.987;Annecy;FR
NDA;WAPC;AS;'-4.5214;1.299.054;Bandanaira;ID
NDB;GQPP;AF;209.330.997.467.041;'-17.030000686645508;Nouadhibou;MR
NDC;;AS;191.833;77.316.704;Nanded;IN
NDD;FNSU;AF;'-11.1679;138.475;Sumbe;AO
NDE;HKMA;AF;3.934.045;41.844.437;Mandera;KE
NDF;;AF;'-9.280378;14.982.432;N'dalatando;AO
NDG;ZYQQ;AS;47.239.601.135.253.900;12.391.799.926.757.800;Qiqihar;CN
NDJ;FTTJ;AF;121.337;15.034;N'Djamena;TD
NDK;;OC;5.633.005;168.125.631;Namorik Atoll;MH
NDL;FEFN;AF;8.427.206.039.428.710;20.635.156.631.469.700;N'Délé;CF
NDM;HAMN;AF;9.767;35.099.998;Mendi;ET
NDR;GMMW;AF;349.888;'-3.02821;Al Aaroui;MA
NDS;YSAN;OC;'-27.979999542236328;1.192.969.970.703.120;Sandstone;AU
NDU;FYRU;AF;'-17.956499099731;19.719.400.405.884;Rundu;NA
NDY;EGES;EU;59.250.301;'-2.57667;Sanday;GB
NEC;SAZO;SA;'-38.490746;'-58.816337;Necochea;AR
NEG;MKNG;NA;18.341.712;'-78.334164;Negril;JM
NEJ;HANJ;AF;9.55;35.466.995;Nejo;ET
NEK;HANK;AF;9.034.333;36.613.154;Nekemte;ET
NEL;KNEL;NA;4.003.329.849;'-74.353302;Lakehurst;US
NEN;KNEN;NA;30.353.900.909.424;'-81.87190246582;Jacksonville;US
NER;UELL;AS;56.913.898.468.018;12.491.400.146.484;Neryungri;RU
NEU;VLSN;AS;204.184;104.067.001;;LA
NEV;TKPN;NA;17.205.699.920.654.200;'-62.589900970458984;Charlestown;KN
NEW;KNEW;NA;30.042.400.360.107;'-90.028297424316;New Orleans;US
NFG;USRN;AS;61.108.299;72.650.002;Nefteyugansk;RU
NFL;KNFL;NA;3.941.659.927;'-118.7009964;Fallon;US
NFO;NFTO;OC;'-15.570603;'-175.631283;Angaha, Niuafo'ou Island;TO
NFR;HLNR;AF;292.132;215.924;Nafurah 1;LY
NGA;YYNG;OC;'-34.2556;148.248.001;;AU
NGB;ZSNB;AS;2.982.670.021.057.120;12.146.199.798.583.900;Ningbo;CN
NGD;TUPA;NA;18.727.734;'-64.32852;Anegada;VG
NGE;FKKN;AF;73.570.098.876.953.100;13.559.200.286.865.200;N'Gaoundéré;CM
NGF;PHNG;OC;214.505;'-157.768005;Kaneohe;US
NGI;NFNG;OC;'-18.115600585899998;179.339.996.338;Ngau;FJ
NGK;UHSN;AS;51.783.955;143.141.785;Nogliki;RU
NGL;FANG;AF;'-24.389;31.326;Ngala;ZA
NGO;RJGG;AS;34.858.398;136.804.993;Tokoname;JP
NGP;KNGP;NA;276.926;'-97.2911;Corpus Christi;US
NGS;RJFU;AS;32.916.901;129.914.001;Nagasaki;JP
NGU;KNGU;NA;36.937.599;'-76.289299;Norfolk;US
NGW;KNGW;NA;27.704.426;'-97.440578;Corpus Christi;US
NGX;VNMA;AS;28.641.399;84.089.203;Ngawal;NP
NHD;OMDM;AS;250.268.001.556;553.661.994.934;Dubai;AE
NHF;HSNW;AF;153.556;35.727.798;New Halfa;SD
NHK;KNHK;NA;38.285.999;'-76.411797;Patuxent River;US
NHT;EGWU;EU;51.553.001;'-0.418167;London;GB
NHV;NTMD;OC;'-8.7956;'-140.229004;Nuku Hiva;PF
NHX;KNBJ;NA;30.389.099.121.100.000;'-87.63529968259999;Foley;US
NHZ;KBXM;NA;4.389.220.047;'-69.93859863;Brunswick;US
NIA;GLNA;AF;7.494.459;'-8.584514;Nimba;LR
NIB;PAFS;NA;63.017.949;'-154.360399;Nikolai;US
NIF;YCNF;OC;'-21.6717;121.586.998;;AU
NIG;NGNU;OC;'-1.31444001198;176.410.003.662;Nikunau;KI
NIM;DRRN;AF;134.815;218.361;Niamey;NE
NIN;;NA;60.020.199;'-151.589005;Ninilchik;US
NIO;FZBI;AF;'-2.717453;17.685.735;Nioki;CD
NIP;KNIP;NA;302.358;'-81.680603;Jacksonville;US
NIQ;;NA;70.789.385;'-53.662945;Niaqornat;GL
NIR;;NA;28.362.444;'-97.661917;Beeville;US
NIT;LFBN;EU;46.313.477;'-0.394529;Niort/Souché;FR
NIX;GANR;AF;152.381;'-9.57611;Nioro du Sahel;ML
NJA;RJTA;AS;35.454.601;139.449.997;Ayase / Yamato;JP
NJC;USNN;AS;60.949.299;76.483.597;Nizhnevartovsk;RU
NJK;KNJK;NA;32.829.201;'-115.671996;El Centro;US
NKB;;OC;'-18.4946994781;124.851.997.375;;AU
NKG;ZSNJ;AS;31.735.032;118.865.949;Nanjing;CN
NKI;;NA;55.849.602;'-133.227994;Tuxekan Island;US
NKL;FZAR;AF;'-5.421;148.169;N'Kolo-Fuma;CD
NKM;RJNA;AS;35.255.759;136.924.095;Nagoya;JP
NKU;FXNK;AF;'-30.021699905396;28.196.899.414.062;Nkaus;LS
NKW;;AS;'-7.31327;72.411.102;Diego Garcia;IO
NKX;KNKX;NA;3.286.840.057;'-117.1429977;San Diego;US
NKY;FCBY;AF;'-4.223077;13.286.347;Nkayi;CG
NLC;KNLC;NA;3.633.300.018;'-119.9520035;Lemoore;US
NLD;MMNL;NA;27.443.899;'-99.570503;Nuevo Laredo;MX
NLE;;NA;41.835.899.353.027;'-86.225196838379;Niles;US
NLF;YDNI;OC;'-9.579176;143.780.276;Darnley Island;AU
NLG;PAOU;NA;560.075;'-161.160004;Nelson Lagoon;US
NLI;UHNN;AS;53.154.999;140.649.994;Nikolayevsk-na-Amure Airport;RU
NLK;YSNF;OC;'-29.041887;167.939.616;Burnt Pine;NF
NLL;YNUL;OC;'-21.913299560546875;120.197.998.046.875;;AU
NLN;;NA;40.718.639;'-123.927298;Kneeland;US
NLO;FZAB;AF;'-4.32666015625;15.327.500.343.323;N'dolo;CD
NLP;FANS;AF;'-25.5;309.137.992.859;Nelspruit;ZA
NLS;;OC;'-18.049999237060547;12.889.999.389.648.400;;AU
NLU;MMSM;NA;197.357;'-99.0257;Mexico City;MX
NLV;UKON;EU;47.057.899;319.198;Nikolayev;UA
NMA;UTFN;AS;409.846;71.556.702;Namangan;UZ
NMB;VADN;AS;20.434.401;72.843.201;Daman;IN
NMC;MYEN;NA;24.594.299;'-76.820198;Normans Cay;BS
NME;PAGT;NA;60.469.129;'-164.70407;Nightmute;US
NMG;;NA;8.456.507;'-78.934214;Isla del Rey;PA
NML;;NA;570.555.992.126;'-111.573997498;Fort McMurray;CA
NMP;;OC;'-19.2;145.773;Basalt;AU
NMR;YNAP;OC;'-27.549201;141.158.416;;AU
NMS;VYNS;AS;20.890.499.114.990.200;9.773.590.087.890.620;Namsang;MM
NMT;;AS;23.083;97.383.003;Namtu;MM
NNA;;AF;34.298.901;'-6.59588;Kenitra;MA
NNG;ZGNN;AS;22.608.544;108.175.335;Nanning (Jiangnan);CN
NNI;FYNA;AF;'-18.8064;169.272;Namutoni;NA
NNK;;NA;58.735.633;'-157.02216;Naknek;US
NNL;PANO;NA;59.980.202;'-154.839005;Nondalton;US
NNM;ULAM;EU;67.639.999;53.121.899;Naryan Mar;RU
NNR;EICA;EU;5.323.030.090.332.030;'-9.467780113220215;Inverin;IE
NNT;VTCN;AS;18.807.899.475.097.600;10.078.299.713.134.700;;TH
NNU;SNNU;SA;'-17.823158;'-40.329662;Nanuque;BR
NNX;WAQA;AS;4.134.001;117.669.546;Nunukan-Nunukan Island;ID
NNY;ZHNY;AS;32.982.696;112.617.467;Nanyang (Wancheng);CN
NOA;YSNW;OC;'-34.9466;150.542.451;Nowra Hill;AU
NOB;MRNS;NA;9.976.490.020.750.000;'-85.65299987790002;Nicoya;CR
NOC;EIKN;EU;53.910.301;'-8.81849;Charlestown;IE
NOD;EDWS;EU;53.633.057;7.190.278;Norddeich;DE
NOG;MMNG;NA;31.225.756;'-110.976934;Nogales;MX
NOI;;EU;44.962.905;37.999.071;Krymsk;RU
NOJ;USRO;AS;6.318.330.001.831.050;752.699.966.430.664;Noyabrsk;RU
NOK;SWXV;SA;'-14.697778;'-52.347246;Nova Xavantina;BR
NON;NGTO;OC;'-0.639722;174.427.994;Nonouti;KI
NOP;LTCM;AS;42.018.313;35.071.774;Sinop;TR
NOR;BINF;EU;65.131.897;'-13.7464;Norðfjörður;IS
NOS;FMNN;AF;'-13.3121;483.148;Nosy Be;MG
NOT;KDVO;NA;38.143.600.463.867;'-122.55599975586;Novato;US
NOU;NWWW;OC;'-22.014601;166.212.997;Nouméa (La Tontouta);NC
NOV;FNHU;AF;'-12.8089;157.605;Huambo;AO
NOZ;UNWW;EU;53.811.401;86.877.197;Novokuznetsk;RU
