IATA;aeropuerto;provincia;tipologia_principal;tipologia_secundaria;sector_1;sector_2;sector_3;rasgo_territorial;turismo_cat;atractivo_1;atractivo_2;atractivo_3;actividad_turistica_1;actividad_turistica_2;actividad_turistica_3;tipologia_demanda_aerea;demanda_secundaria;observacion_demanda;tipo_estacionalidad;observacion_estacionalidad
FMA;Formosa;Formosa;administraci¢n p£blica / capitalidad;integraci¢n territorial;administraci¢n p£blica;comercio;servicios;capital provincial;sin peso tur°stico relevante;Costanera del R°o Paraguay;Reserva Laguna Oca;Parque Nacional R°o Pilcomayo;ecoturismo;turismo fluvial;turismo cultural;administrativa;territorial;demanda institucional y conectividad b†sica regional;todo_el_ano;demanda institucional y regional estable
GPO;General Pico;La Pampa;agroindustrial;integraci¢n territorial;agricultura;ganader°a;comercio;agro pampeano;sin peso tur°stico relevante;Lagunas pampeanas;Turismo rural;Estancias tradicionales;turismo rural;turismo de estancias;pesca deportiva;territorial;agropecuaria;movilidad regional asociada al agro y servicios;todo_el_ano;perfil regional sin estacionalidad marcada
GNR;General Roca;R°o Negro;agroindustrial;servicios;agricultura;comercio;servicios;fruticultura Alto Valle;sin peso tur°stico relevante;Valle frut°cola del Alto Valle;Ruta de la Manzana;R°o Negro superior;turismo rural;turismo gastron¢mico regional;turismo enol¢gico;territorial;agropecuaria;demanda regional vinculada al Alto Valle;todo_el_ano;din†mica regional relativamente homogÇnea
IGR;Iguaz£;Misiones;turismo;servicios;turismo;comercio;servicios;cataratas del Iguaz£;turismo estacional fuerte;Cataratas del Iguaz£;Parque Nacional Iguaz£;Triple frontera;turismo de naturaleza;ecoturismo;turismo internacional;turistica;internacional;destino internacional de alta especializaci¢n tur°stica;todo_el_ano;turismo sostenido a lo largo del a§o
JUJ;Jujuy;Jujuy;turismo;administraci¢n p£blica / capitalidad;turismo;servicios;comercio;quebrada de Humahuaca;turismo nacional;Quebrada de Humahuaca;Cerro de los Siete Colores;Salinas Grandes;turismo cultural;turismo paisaj°stico;turismo gastron¢mico;mixta;turistica;combina capitalidad provincial con turismo;todo_el_ano;turismo y servicios distribuidos anualmente
JNI;Jun°n;Buenos Aires;agroindustrial;integraci¢n territorial;agricultura;ganader°a;comercio;agro pampeano;sin peso tur°stico relevante;Laguna de G¢mez;Turismo rural pampeano;Estancias hist¢ricas;turismo rural;turismo recreativo;pesca deportiva;territorial;agropecuaria;conectividad regional del interior bonaerense;todo_el_ano;conectividad regional estable
LPG;La Plata;Buenos Aires;metropolitano / servicios avanzados;administraci¢n p£blica / capitalidad;administraci¢n p£blica;servicios;comercio;capital provincial;turismo regional;Catedral de La Plata;Museo de Ciencias Naturales;Rep£blica de los Ni§os;turismo cultural;turismo cient°fico;turismo urbano;administrativa;mixta;capital provincial con servicios, gobierno y cercan°a metropolitana;todo_el_ano;demanda institucional y metropolitana estable
IRJ;La Rioja;La Rioja;administraci¢n p£blica / capitalidad;agroindustrial;administraci¢n p£blica;agricultura;comercio;capital provincial;turismo regional;Parque Nacional Talampaya;Cuesta de Miranda;Ruta de los caudillos;turismo cultural;turismo hist¢rico;turismo paisaj°stico;administrativa;territorial;movilidad institucional y regional;todo_el_ano;perfil administrativo regional
LGS;MalargÅe;Mendoza;turismo;mineria;turismo;miner°a;servicios;turismo aventura;turismo nacional;Volc†n Malacara;Caverna de las Brujas;Reserva La Payunia;turismo aventura;turismo de monta§a;trekking;turistica;extractiva;turismo de monta§a con soporte a actividades regionales;verano;monta§a y naturaleza con mayor peso estival
MDQ;Mar del Plata;Buenos Aires;turismo;pesca;turismo;pesca;comercio;turismo costero;turismo estacional fuerte;Playas de Mar del Plata;Puerto pesquero;Sierra de los Padres;turismo vacacional de verano;turismo recreativo;turismo gastron¢mico;turistica;eventos;predominio vacacional y recreativo;verano;fuerte concentraci¢n en temporada estival
MDZ;Mendoza;Mendoza;turismo;agroindustrial;turismo;agricultura;industria;vitivinicultura;turismo nacional;Ruta del vino;Parque Aconcagua;Alta monta§a;enoturismo;turismo de monta§a;turismo aventura;mixta;turistica;importante combinaci¢n de turismo, negocios y servicios;todo_el_ano;turismo y negocios distribuidos en el a§o
RLO;Merlo;San Luis;turismo;servicios;turismo;comercio;servicios;turismo serrano;turismo nacional;Villa de Merlo;Sierra de los Comechingones;Mirador del Sol;turismo serrano;turismo naturaleza;turismo descanso;turistica;territorial;turismo serrano y conectividad regional;verano;turismo serrano con mayor peso en meses c†lidos
NEC;Necochea;Buenos Aires;agroindustrial;nodo log°stico / transporte;agricultura;log°stica;comercio;puerto cerealero;turismo regional;Playas de Necochea;R°o QuequÇn Grande;Parque Miguel Lillo;turismo vacacional de verano;turismo costero;pesca deportiva;territorial;turistica;base regional con componente costero estacional;verano;componente costero estacional
NQN;NeuquÇn;NeuquÇn;hidrocarburos;servicios;petr¢leo y gas;servicios;comercio;Vaca Muerta;turismo regional;Ruta del vino patag¢nico;Lago Pellegrini;µrea Vaca Muerta;turismo enol¢gico;turismo aventura;turismo naturaleza;corporativa;mixta;fuerte v°nculo con Vaca Muerta y negocios;todo_el_ano;demanda empresarial sostenida
PRA;Paran†;Entre R°os;administraci¢n p£blica / capitalidad;agroindustrial;administraci¢n p£blica;agricultura;comercio;capital provincial;turismo regional;Costanera del Paran†;T£nel subfluvial;Parque Urquiza;turismo fluvial;turismo cultural;turismo recreativo;administrativa;territorial;capital provincial y articulaci¢n regional;todo_el_ano;perfil administrativo estable
AOL;Paso de los Libres;Corrientes;nodo log°stico / transporte;agroindustrial;log°stica;comercio;agricultura;frontera Brasil;turismo regional;Puente internacional;R°o Uruguay;Turismo de frontera;turismo de frontera;turismo fluvial;turismo recreativo;fronteriza;territorial;conectividad vinculada a frontera y tr†nsito regional;todo_el_ano;din†mica fronteriza y regional continua
PMQ;Perito Moreno;Santa Cruz;extractiva;integraci¢n territorial;miner°a;ganader°a;comercio;miner°a santacruce§a;sin peso tur°stico relevante;Meseta patag¢nica;Ruta de las estancias;Paisajes patag¢nicos;turismo rural patag¢nico;turismo naturaleza;pesca deportiva;extractiva;territorial;asociada a miner°a y conectividad patag¢nica;todo_el_ano;vinculada a actividad extractiva y conectividad territorial
PSS;Posadas;Misiones;administraci¢n p£blica / capitalidad;turismo;administraci¢n p£blica;comercio;servicios;capital provincial;turismo nacional;Costanera de Posadas;Misiones jesu°ticas;Puente internacional Encarnaci¢n;turismo cultural;turismo fluvial;turismo internacional;mixta;administrativa;capital provincial con turismo y frontera;todo_el_ano;capital provincial y turismo regional
PMY;Puerto Madryn;Chubut;turismo;pesca;turismo;pesca;comercio;pen°nsula ValdÇs;turismo internacional;Pen°nsula ValdÇs;Avistaje de ballenas;Playa El Doradillo;turismo de naturaleza;avistaje de fauna;turismo costero;turistica complementario con REL;mixta;turismo de naturaleza con servicios regionales;verano;naturaleza y fauna con mayor intensidad estival. Es complementario con Aeropuerto de Trelew
RCQ;Reconquista;Santa Fe;agroindustrial;servicios;agricultura;ganader°a;comercio;agro norte santafesino;sin peso tur°stico relevante;Humedales del Paran†;Turismo rural santafesino;R°o Reconquista;turismo rural;turismo naturaleza;pesca deportiva;territorial;agropecuaria;base regional vinculada a agro y servicios;todo_el_ano;perfil regional estable
RES;Resistencia;Chaco;administraci¢n p£blica / capitalidad;comercio;administraci¢n p£blica;comercio;servicios;capital provincial;turismo regional;Parque Nacional Chaco;R°o Paran†;Cultura chaque§a;ecoturismo;turismo cultural;turismo recreativo;administrativa;mixta;capital provincial con actividad comercial y p£blica;todo_el_ano;demanda administrativa y comercial
RCU;R°o Cuarto;C¢rdoba;agroindustrial;servicios;agricultura;ganader°a;comercio;agro sur cordobÇs;sin peso tur°stico relevante;Sierras del Sur de C¢rdoba;Estancias jesu°ticas;Turismo rural;turismo rural;turismo serrano;turismo gastron¢mico;territorial;agropecuaria;movilidad regional asociada al agro;todo_el_ano;demanda regional relativamente uniforme
RGL;R°o Gallegos;Santa Cruz;administraci¢n p£blica / capitalidad;extractiva;administraci¢n p£blica;petr¢leo y gas;comercio;capital provincial;sin peso tur°stico relevante;Estuario del R°o Gallegos;Cabo V°rgenes;Ruta patag¢nica;turismo hist¢rico;turismo de naturaleza;turismo rural patag¢nico;administrativa;territorial;capital provincial con componente energÇtico y de servicios;todo_el_ano;perfil administrativo y territorial
RGA;R°o Grande;Tierra del Fuego;industria;nodo log°stico / transporte;industria;petr¢leo y gas;log°stica;polo industrial fueguino;sin peso tur°stico relevante;Cabo Domingo;Museo Virginia Choquintel;Estepa fueguina;turismo hist¢rico;turismo de naturaleza;pesca deportiva;mixta;industrial;demanda ligada a industria y conectividad austral;todo_el_ano;industria y conectividad austral sostenidas
ROS;Rosario;Santa Fe;metropolitano / servicios avanzados;nodo log°stico / transporte;servicios;comercio;log°stica;nodo log°stico regional;turismo nacional;Monumento a la Bandera;Costanera del Paran†;Islas del Delta;turismo urbano cultural;turismo de eventos;turismo gastron¢mico;mixta;corporativa;fuerte componente empresarial, log°stico y urbano;todo_el_ano;fuerte diversificaci¢n funcional
SLA;Salta;Salta;turismo;mineria;turismo;miner°a;servicios;turismo y miner°a;turismo nacional;Tren a las Nubes;Cerro San Bernardo;Quebrada del Toro;turismo cultural;turismo paisaj°stico;turismo gastron¢mico;mixta;turistica;combina turismo, servicios y articulaci¢n regional;todo_el_ano;turismo y servicios durante todo el a§o
FDO;San Fernando;Buenos Aires;nodo log°stico / transporte;metropolitano / servicios avanzados;log°stica;servicios;comercio;aviaci¢n general;turismo regional;Delta del Paran†;Turismo n†utico;Tigre;turismo n†utico;turismo recreativo;turismo de naturaleza;corporativa;mixta;predominio de aviaci¢n general, ejecutiva y servicios;todo_el_ano;aviaci¢n general y ejecutiva sin marcada estacionalidad
UAQ;San Juan;San Juan;mineria;administraci¢n p£blica / capitalidad;miner°a;administraci¢n p£blica;comercio;miner°a;turismo regional;Valle de la Luna (Ischigualasto);Ruta del vino sanjuanino;Dique Ullum;turismo aventura;turismo paisaj°stico;enoturismo;mixta;extractiva;capitalidad provincial con miner°a y servicios;todo_el_ano;miner°a, administraci¢n y turismo moderado
LUQ;San Luis;San Luis;administraci¢n p£blica / capitalidad;industria;administraci¢n p£blica;industria;comercio;capital provincial;turismo regional;Sierra de las Quijadas;Potrero de los Funes;Circuito serrano;turismo serrano;turismo aventura;turismo naturaleza;administrativa;territorial;demanda institucional y regional;todo_el_ano;demanda institucional y regional
AFA;San Rafael;Mendoza;turismo;agroindustrial;turismo;agricultura;comercio;oasis sur mendocino;turismo nacional;Ca§¢n del Atuel;Valle Grande;Ruta del vino mendocino;enoturismo;turismo aventura;turismo naturaleza;turistica;mixta;turismo regional con servicios y producci¢n;verano;turismo del sur mendocino m†s intenso en meses c†lidos
SFN;Santa Fe;Santa Fe;administraci¢n p£blica / capitalidad;agroindustrial;administraci¢n p£blica;agricultura;comercio;capital provincial;turismo regional;Costanera santafesina;Laguna Set£bal;Puente colgante;turismo fluvial;turismo cultural;turismo recreativo;administrativa;territorial;capital provincial y conectividad regional;todo_el_ano;capital provincial y servicios
RSA;Santa Rosa;La Pampa;administraci¢n p£blica / capitalidad;agroindustrial;administraci¢n p£blica;agricultura;comercio;capital provincial;turismo regional;Parque Luro;Laguna Don Tom†s;Turismo rural pampeano;turismo rural;turismo naturaleza;turismo recreativo;administrativa;territorial;capital provincial con servicios y agro;todo_el_ano;perfil administrativo regional
SST;Santa Teresita;Buenos Aires;turismo;integraci¢n territorial;turismo;comercio;servicios;costa atl†ntica;turismo estacional fuerte;Playas del Partido de la Costa;Reserva Punta Rasa;Costa atl†ntica;turismo vacacional de verano;turismo de playa;turismo familiar;turistica;territorial;fuerte sesgo vacacional estival;verano;turismo de playa altamente estacional
SDE;Santiago del Estero;Santiago del Estero;administraci¢n p£blica / capitalidad;turismo;administraci¢n p£blica;comercio;servicios;capital provincial;turismo regional;Termas de R°o Hondo;Dique frontal;Cultura santiague§a;turismo cultural;turismo religioso;turismo recreativo;administrativa;mixta;capital provincial con turismo regional;todo_el_ano;capital provincial con turismo regional
TDL;Tandil;Buenos Aires;agroindustrial;turismo;agricultura;industria;turismo;sierras;turismo regional;Sierras de Tandil;Piedra Movediza;Turismo rural;turismo serrano;turismo rural;turismo naturaleza;mixta;territorial;demanda regional con turismo de cercan°a;todo_el_ano;turismo de cercan°a y servicios regionales
TTG;Tartagal;Salta;extractiva;agroindustrial;petr¢leo y gas;agricultura;comercio;gas y petr¢leo;sin peso tur°stico relevante;Selva de Yungas;Cultura wichi;Parque Nacional Barit£;ecoturismo;turismo cultural;turismo naturaleza;extractiva;territorial;vinculada a hidrocarburos y conectividad del norte salte§o;todo_el_ano;demanda ligada a actividad econ¢mica regional
RHD;Termas de R°o Hondo;Santiago del Estero;turismo;integraci¢n territorial;turismo;comercio;servicios;turismo termal;turismo estacional fuerte;Termas de R°o Hondo;Aut¢dromo internacional;Museo del autom¢vil;turismo termal;turismo de eventos deportivos;turismo recreativo;eventos;turistica;termalismo y grandes eventos deportivos;eventos;alta incidencia de eventos y termalismo
REL;Trelew;Chubut;servicios;industria;log°stica;industria;comercio;valle inferior;turismo regional;Valle inferior del Chubut;Cultura galesa;Ruta costera;turismo cultural;turismo naturaleza;turismo costero;territorial complementario con PMY;mixta;nodo regional de servicios y articulaci¢n patag¢nica;todo_el_ano;perfil regional y de servicios. Es complementario con Aeropuerto de Puerto Madryn
TUC;Tucum†n;Tucum†n;agroindustrial;industria;agricultura;industria;servicios;agroindustria;turismo regional;Casa Hist¢rica;Taf° del Valle;Valles Calchaqu°es;turismo cultural;turismo naturaleza;turismo gastron¢mico;mixta;corporativa;econom°a regional compleja con negocios, agro y servicios;todo_el_ano;demanda mixta de negocios, servicios y turismo
USH;Ushuaia;Tierra del Fuego;turismo;integraci¢n territorial;turismo;servicios;comercio;fin del mundo;turismo estacional fuerte;Parque Nacional Tierra del Fuego;Canal Beagle;Tren del Fin del Mundo;turismo ant†rtico;turismo de naturaleza;trekking;turistica;internacional;destino tur°stico austral de alta jerarqu°a;verano;turismo austral y cruceros con pico estival
VDM;Viedma;R°o Negro;administraci¢n p£blica / capitalidad;turismo;administraci¢n p£blica;comercio;servicios;capital provincial;turismo regional;R°o Negro inferior;Balneario El C¢ndor;Acantilados patag¢nicos;turismo costero;turismo naturaleza;pesca deportiva;administrativa;territorial;capital provincial y turismo regional costero;verano;turismo costero regional
VLG;Villa Gesell;Buenos Aires;turismo;integraci¢n territorial;turismo;comercio;servicios;turismo costero;turismo estacional fuerte;Playas de Villa Gesell;Faro Querand°;Bosque geselino;turismo vacacional de verano;turismo de playa;turismo recreativo;turistica;territorial;turismo de playa de fuerte concentraci¢n estival;verano;turismo de playa claramente estival
VME;Villa Mercedes;San Luis;industria;nodo log°stico / transporte;industria;log°stica;comercio;polo industrial;sin peso tur°stico relevante;Parque industrial Villa Mercedes;Turismo rural puntano;Estancias hist¢ricas;turismo rural;turismo cultural;turismo recreativo;mixta;industrial;demanda asociada a industria y log°stica regional;todo_el_ano;industria y log°stica regional
